السنة بالهجري ,الشهر ,الجنس,عدد تصاريح 
1446,محرم,ذكور,"496,499"
1446,محرم,إناث,"434,697"
1446,صفر,ذكور,"527,572"
1446,صفر,إناث,"501,994"
1446,ربيع الأول,ذكور,"571,615"
1446,ربيع الأول,إناث,"535,990"
1446,ربيع الثاني,ذكور,"644,198"
1446,ربيع الثاني,إناث,"645,138"
1446,جماد الأول,ذكور,"684,859"
1446,جماد الأول,إناث,"697,221"
1446,جماد الثاني,ذكور,"786,906"
1446,جماد الثاني,إناث,"818,101"
1446,رجب,ذكور,"913,149"
1446,رجب,إناث,"994,898"
1446,شعبان,ذكور,"1,027,736"
1446,شعبان,إناث,"1,098,349"
1446,رمضان,ذكور,"2,021,300"
1446,رمضان,إناث,"1,523,932"
1446,شوال,ذكور,"449,180"
1446,شوال,إناث,"403,884"
1446,ذوالحجة,ذكور,"120,487"
1446,ذوالحجة,إناث,"42,627"